AP1;AP2;AP3;AP4;AP5;AP6;AP7;AP8;AP9;AP10;AP11;Beacon 1;Beacon 2;Beacon 3;Beacon 4;Beacon 5;Beacon 6;Beacon 7;Beacon 8;Beacon 9;Beacon 10;Beacon 11;Beacon 12;Beacon 13;Beacon 14;Beacon 15;Beacon 16;Beacon 17;Beacon 18;Beacon 19;Beacon 20;Beacon 21;Beacon 22;Beacon 23;Beacon 24;Beacon 25;Beacon 26;Beacon 27;Beacon 28;Beacon 29;Beacon 30;Beacon 31;Beacon 32;Beacon 33;Beacon 34;Beacon 35;Beacon 36;Beacon 37;Beacon 38;Beacon 39;Beacon 40;Beacon 41;Beacon 42;Beacon 43;Beacon 44;Beacon 45;Beacon 46;X Pos;Y Pos
-59;-60;-71;-110;-83;-110;-110;-110;-110;-110;-110;-110;-110;-91;-84;-110;-110;-96;-110;-110;-110;-110;-72;-73;-110;-110;-110;-110;-95;-110;-110;-110;-110;-98;-110;-110;-91;-110;-81;-96;-110;-77;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-86;-110;-110;9.6;34.4
-60;-60;-69;-110;-110;-110;-110;-110;-110;-110;-110;-98;-93;-110;-80;-110;-110;-95;-110;-110;-110;-110;-82;-70;-110;-86;-92;-110;-110;-110;-110;-110;-86;-110;-110;-110;-110;-110;-110;-98;-110;-110;-81;-110;-90;-75;-110;-110;-95;-110;-110;-110;-110;-110;-110;-110;-110;6.5;34.4
-58;-60;-110;-110;-110;-110;-110;-110;-110;-110;-110;-98;-110;-98;-110;-110;-83;-110;-110;-110;-110;-86;-74;-110;-84;-86;-90;-110;-110;-110;-110;-75;-110;-110;-110;-110;-110;-110;-110;-92;-110;-84;-79;-110;-89;-77;-110;-110;-96;-110;-110;-110;-110;-110;-110;-110;-110;3.4;34.4
-50;-60;-69;-110;-110;-110;-110;-110;-110;-86;-110;-96;-110;-99;-79;-110;-110;-97;-110;-110;-110;-110;-110;-71;-86;-85;-110;-110;-97;-110;-103;-75;-110;-110;-110;-99;-110;-110;-88;-110;-110;-110;-75;-100;-110;-80;-110;-110;-98;-110;-110;-92;-110;-110;-82;-110;-110;3.4;31.3
-53;-63;-71;-76;-85;-110;-110;-110;-110;-83;-79;-94;-110;-110;-110;-110;-77;-90;-110;-110;-110;-85;-110;-74;-110;-81;-91;-110;-110;-110;-110;-81;-83;-110;-110;-110;-110;-110;-86;-110;-110;-110;-75;-110;-92;-82;-110;-110;-110;-98;-110;-96;-110;-110;-110;-110;-110;6.5;31.3
-59;-61;-66;-77;-83;-110;-110;-110;-110;-76;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-83;-79;-72;-81;-110;-110;-110;-110;-110;-110;-79;-77;-110;-110;-110;-110;-110;-80;-110;-110;-77;-76;-110;-110;-82;-110;-110;-110;-110;-110;-94;-110;-110;-85;-110;-94;9.6;31.3
-58;-66;-69;-80;-110;-110;-110;-110;-78;-110;-110;-95;-110;-110;-84;-110;-110;-110;-110;-110;-110;-110;-84;-77;-77;-110;-110;-110;-110;-110;-110;-110;-83;-110;-98;-110;-110;-110;-84;-89;-110;-110;-110;-110;-110;-82;-110;-110;-110;-110;-110;-110;-106;-110;-85;-110;-110;9.6;28.2
-55;-110;-71;-77;-87;-110;-110;-90;-110;-110;-110;-110;-99;-110;-84;-110;-87;-110;-110;-110;-110;-110;-110;-76;-110;-86;-110;-110;-103;-110;-110;-84;-110;-110;-110;-110;-110;-110;-110;-110;-99;-110;-110;-110;-87;-91;-110;-110;-110;-110;-110;-110;-110;-110;-110;-101;-110;6.5;28.2
-57;-62;-73;-110;-110;-110;-110;-110;-110;-84;-80;-110;-110;-110;-89;-110;-79;-110;-110;-110;-110;-81;-110;-110;-110;-110;-110;-110;-110;-110;-110;-81;-110;-110;-110;-110;-110;-110;-80;-110;-110;-110;-110;-110;-110;-85;-110;-110;-96;-110;-110;-110;-110;-110;-86;-110;-100;3.4;28.2
-47;-66;-73;-110;-110;-110;-110;-110;-67;-77;-110;-110;-110;-110;-110;-110;-110;-89;-110;-110;-110;-110;-110;-72;-110;-110;-110;-110;-93;-90;-87;-75;-110;-110;-95;-110;-97;-110;-87;-110;-110;-110;-110;-110;-77;-82;-110;-101;-110;-110;-110;-99;-110;-110;-85;-110;-110;9.6;22
